Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),AI Score (0-100)_reflect_log,AI_High_Performer,text_all,feat_skill_python,feat_skill_sql,feat_skill_excel,feat_skill_tableau,feat_skill_power_bi,feat_skill_project_management,feat_skill_machine_learning,feat_skill_deep_learning,feat_skill_nlp,feat_skill_pandas,feat_skill_numpy,feat_skill_spark,feat_skill_aws,feat_skill_azure,feat_skill_gcp,feat_skill_docker,feat_skill_kubernetes,feat_skill_snowflake,feat_num_skills_matched,feat_degree_bachelor,feat_degree_master,feat_degree_mba,feat_degree_phd,feat_top_degree_level,feat_high_title,feat_job_tech,feat_job_sales,feat_job_marketing,feat_job_finance,feat_job_operations,feat_job_hr,feat_job_product,feat_job_design,feat_cert_aws,feat_cert_pmp,feat_cert_scrum,feat_cert_csm,feat_cert_six_sigma,feat_cert_cfa,feat_cert_cpa,feat_cert_azure,feat_cert_gcp,feat_num_promotions,feat_years_experience_extracted,feat_has_metrics,feat_num_numbers,feat_text_len_chars,feat_text_len_words,feat_num_bullets
1,Ashley Ali,"TensorFlow, NLP, Pytorch",10,B.Sc,,AI Researcher,Hire,104895,8,100,0.0,1,ashley ali tensorflow nlp pytorch b sc nan ai researcher hire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,61,11,0
2,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002,1,100,0.0,1,wesley roman deep learning machine learning python sql mba google ml data scientist hire,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,88,14,0
3,Corey Sanchez,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766,7,70,3.4339872044851463,1,corey sanchez ethical hacking cybersecurity linux mba deep learning specialization cybersecurity analyst hire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109,13,0
4,Elizabeth Carney,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848,0,95,1.791759469228055,1,elizabeth carney python pytorch tensorflow b tech aws certified ai researcher hire,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,82,12,0
5,Julie Hill,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441,9,100,0.0,1,julie hill sql react java phd nan software engineer hire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,56,10,0
6,Samantha Santos,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957,5,100,0.0,1,samantha santos cybersecurity networking linux ethical hacking b tech google ml cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,106,14,0
7,Tony Smith,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208,9,100,0.0,1,tony smith networking cybersecurity ethical hacking m tech aws certified cybersecurity analyst hire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,99,13,0
8,Anthony Harrison,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7,90,2.3978952727983707,1,anthony harrison tensorflow pytorch nlp m tech aws certified ai researcher hire,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,79,12,0
9,Nancy Jenkins,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3,100,0.0,1,nancy jenkins networking ethical hacking mba deep learning specialization cybersecurity analyst hire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,100,12,0
10,Courtney Gibson,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579,1,35,4.189654742026425,0,courtney gibson python tensorflow pytorch nlp m tech aws certified ai researcher reject,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,13,0
